# Dump Cloned {
Points:
100361.554688 105266.289062 0
100316.304688 105278.085938 0
100271.390625 105309.492188 0
100216.875 104830.585938 0
100175.085938 104831.148438 0
100133.28125 104821.34375 0
102466.726562 91618.4140625 0
102465.734375 91898.6640625 0
102462.867188 92168.640625 0
102461.3125 92418.796875 0
102509.703125 92496.640625 0
102572.351562 92527.1953125 0
102507.75 92937.6015625 0
102488.273438 93194.9921875 0
102397.734375 93640.015625 0
102478.414062 94890.1640625 0
102455.71875 95478.59375 0
102453.890625 95578.8828125 0
102004.539062 96517.6171875 0
101901.617188 96780.171875 0
106327.914062 104794.75 0
106278.304688 104842.492188 0
106329.148438 105240.476562 0
106450.828125 105437.234375 0
106667.65625 105721.78125 0
105460.171875 104838.039062 0
103552.164062 104835.625 0
103154.546875 104357.4375 0
100004.40625 95040.578125 0
102422.554688 91801.59375 0
102423.609375 92322.1328125 0
100258.34375 105017.34375 0
99556.140625 95042.078125 0
99599.6015625 95037.2578125 0
99644.0625 95042.7734375 0
99687.5078125 95038.7265625 0
99730.984375 95035.0546875 0
99773.7890625 95021.7890625 0
99818.03125 95028.8515625 0
99861.59375 95026.3203125 0
99905.171875 95024.1640625 0
102523.320312 93038 0
102481.0625 93351.5078125 0
106340.796875 105403.664062 0
99547.4921875 97283.1953125 0
99561.2578125 97229.25 0
99539.59375 96988.8515625 0
99556.78125 96934.6796875 0
99534.8515625 96654.1015625 0
99554.171875 96589.890625 0
99532.2265625 96259.109375 0
99542.6875 96105.71875 0
99518.109375 95684.8828125 0
99544.03125 95590.515625 0
99527.546875 95138.9765625 0
102480.90625 92043.171875 0
101962.304688 96618.1171875 0
99568.8125 98222.671875 0
99584.2421875 98217.9296875 0
99582.8203125 98155.7421875 0
99587.90625 98112.640625 0
99601.6484375 98098.421875 0
99620.71875 98103.625 0
99547.9375 97750.578125 0
99562.703125 97726.2421875 0
99550.125 97585.25 0
99564.4453125 97551.109375 0
99532.890625 96771.7109375 0
99530.609375 96406.734375 0
99516.203125 95872.6015625 0
99517.7265625 95317.203125 0
99381.4609375 98228.03125 0
99396.859375 98221.640625 0
99416.0234375 98224.671875 0
99431.4453125 98218.578125 0
99454.015625 98231.3203125 0
99569.859375 97900.453125 0
99541.1796875 97433.90625 0
99557.1015625 97399.625 0
99537.015625 95981.21875 0
99535.90625 95416.1640625 0
102489.21875 92788.0625 0
102440.921875 93511.53125 0
103072.09375 104234.203125 0
99309.96875 98452.96875 0
99323.25 98445.9765625 0
99332.0546875 98430.1953125 0
99345.5390625 98423.3984375 0
99350.3125 98398.75 0
99364.0625 98392.109375 0
99360.9765625 98349.34375 0
99371.015625 98333.7109375 0
103442.015625 104809.414062 0
102894 104415.546875 0
102870.789062 104465.1875 0
99138.046875 98501.921875 0
99139.8359375 98476.71875 0
99125.7109375 98426.234375 0
99144.515625 98426.0703125 0
99142.125 98392.1484375 0
99166.28125 98400.765625 0
99127.4375 98699.5625 0
99131.9453125 98683.03125 0
99118.0625 98642.9375 0
99129.328125 98634.1171875 0
99122.4921875 98601.53125 0
99130.6484375 98847.703125 0
99132.828125 98831.6171875 0
99128.3203125 98808.234375 0
99559.109375 97091.484375 0
102493.164062 91727.46875 0
106605.484375 105903.242188 0
99143.6953125 98957.671875 0
101056.59375 91537.6171875 0
100939.15625 91533.859375 0
102546.703125 94744.3203125 0
102546.0625 92637.2421875 0
100829.953125 91538.8203125 0
100715.578125 91537.515625 0
99565.8671875 98003.3828125 0
100700.664062 94883.9296875 0
100709.3125 94699.7421875 0
100712.023438 94540.5234375 0
100574.25 91533.1640625 0
99261.9296875 98244.2734375 0
102422.8125 94471.3125 0
102067.835938 96392.4921875 0
102413.75 94136.90625 0
102456.820312 95709.96875 0
102449.226562 95833.546875 0
102439.742188 95966.9296875 0
102523.671875 96043.234375 0
102651.367188 95978.5390625 0
102650.726562 96006.9921875 0
100446.59375 91523.7421875 0
102640.375 94623.09375 0
102412.351562 94296.2265625 0
102639.5 96125.1640625 0
102089.4375 96589.4765625 0
102532.40625 95919.71875 0
102652.851562 96240.1953125 0
102652.953125 96259.8984375 0
102409.71875 93983.2265625 0
102329.96875 96495.0625 0
102541.898438 95531.1640625 0
102546.953125 95635.0703125 0
102560.070312 95648.734375 0
102433.453125 93099.3125 0
102561.15625 95395.3984375 0
102548.507812 95782.828125 0
102627.71875 95880.578125 0
102622.75 96373.8984375 0
102474.289062 96458.0625 0
102401.414062 93283.6328125 0
102558.148438 95029.9140625 0
102569.851562 95051.546875 0
102568.882812 95088.90625 0
102586.203125 95102.7421875 0
102549.992188 95215.296875 0
102556.148438 95273.015625 0
102571.867188 95286.7265625 0
102594.132812 95293.125 0
102616.40625 95299.7734375 0
102631.890625 95314.0078125 0
102636 95485.796875 0
102640.414062 95563.234375 0
102459.015625 96556.9140625 0
102315.757812 96597.65625 0
102222.804688 96650.734375 0
102046.15625 96687.6953125 0
102650.359375 94723.34375 0
100346.921875 91538.609375 0
100227.726562 91525.1953125 0
102471.195312 96661.484375 0
102461.875 96674.0234375 0
100125.828125 91540.2890625 0
102372.445312 96725.171875 0
102141.765625 96720.3125 0
99988.78125 91506.671875 0
100689.5625 94442.15625 0
99859.109375 91496.859375 0
99749.140625 91502.625 0
99634.0546875 91497.3515625 0
99544.7734375 91589.8828125 0
102634.617188 95717.7734375 0
99536.234375 91737.46875 0
99548.3828125 91973.109375 0
99551.1171875 91883.71875 0
99565.828125 92088.1796875 0
99557.734375 92202.40625 0
102582.164062 94840.6484375 0
99546.6015625 92330.125 0
102629.328125 94936.0546875 0
102636.335938 94946.4921875 0
102634.882812 94962.4453125 0
99535.5 92493.3671875 0
99543.5859375 92442.3203125 0
99557.8515625 92671.0390625 0
99552.375 92823.3671875 0
99553.390625 92773.9375 0
102427.335938 92997.3046875 0
99550.5859375 92952.65625 0
99535.7265625 93091.734375 0
99536.453125 93052.0078125 0
99536.9921875 93209.984375 0
99535.703125 93367.71875 0
99537.125 93337.1796875 0
99549.90625 93494.4765625 0
100600.414062 94391.7265625 0
99538.453125 93624.5703125 0
99542.46875 93601.828125 0
100470.609375 94318.5625 0
99535.7890625 93738.640625 0
99529.7890625 93873.3828125 0
99538.15625 93856.4921875 0
102651.632812 92463.1328125 0
99533.65625 93994.4765625 0
99540.203125 93977.546875 0
99548.1875 94130.3046875 0
99552.78125 94113.4609375 0
99538.1953125 94249.6015625 0
99531.171875 94230.9609375 0
102652.585938 92596.6171875 0
100303.664062 94414.8671875 0
99545.6484375 94358.484375 0
102615.679688 92731.7421875 0
99528.75 91489.5703125 0
99585.3671875 94450.859375 0
100001.46875 94447.546875 0
99987.375 94438.6875 0
99917.0078125 94450.3125 0
99902.8359375 94440.546875 0
99841.4921875 94447 0
99808.34375 94442.8203125 0
99756.1484375 94444.3359375 0
99722.8671875 94438.90625 0
100203.242188 94447.4140625 0
100171.132812 94449.9375 0
100120.773438 94460.4375 0
100106.507812 94453.4453125 0
102516.8125 92283.8671875 0
102541.882812 92330.703125 0
102547.695312 92348.8984375 0
102566.523438 92352.1015625 0
102578.710938 92362.9609375 0
102604.296875 92359.1796875 0
102578.554688 92865.3203125 0
102562.773438 92132.8515625 0
102586.742188 92031.9453125 0
102538.648438 91819.828125 0
102568.898438 91904.625 0
102583.5 91915.984375 0
102550.117188 91435.984375 0
102538.976562 91489.015625 0
102561.679688 91492.734375 0
102596.132812 91480.4765625 0
102607.210938 91500.9140625 0
102612.054688 91529.40625 0
102565.414062 91657.296875 0
102580.875 91669.3984375 0
102601.007812 91737.234375 0
102615.773438 91749.6484375 0
102630.429688 91762.1875 0
102638.367188 91782.3671875 0
102629.921875 92215.234375 0
102625.117188 92240.6484375 0
102626.304688 91362.6640625 0
102637.632812 91383.59375 0
102670.953125 91618.46875 0
100470.4375 94438.359375 0
100458.234375 94434.40625 0
100442.859375 94439.8203125 0
100427.359375 94445.0625 0
100415.09375 94440.734375 0
100402.875 94436.296875 0
100014.5625 104574.929688 0
99935.8125 104317.5625 0
99842.390625 104258.804688 0
99999.7109375 104449.453125 0
99901.484375 104431.039062 0
99731.40625 104153.023438 0
99979.0625 104813.671875 0
99674.84375 91358.6640625 0
99696.0390625 91355.921875 0
99717.1875 91353.40625 0
99738.2890625 91351.1328125 0
99657.3125 104030.601562 0
102661.601562 95208.7265625 0
99836.09375 102185.039062 0
100035.898438 104681.804688 0
99731.3828125 102137.914062 0
99609.890625 103936.601562 0
99630.3203125 102476.054688 0
99515.234375 102525.90625 0
99554.203125 102087.023438 0
99933.3671875 104683.875 0
99864.125 99804.9609375 0
102537.609375 96200.7265625 0
99596.8828125 101839.96875 0
99657.9453125 102269.140625 0
99558.09375 102385.0625 0
99555.765625 101731.773438 0
99760.109375 99756.171875 0
99655.2890625 99768.109375 0
99676.75 102370.632812 0
99555.2265625 99759.7421875 0
99494.328125 99765.1484375 0
99592.8515625 101495.117188 0
102772.265625 104438.921875 0
102670.601562 104412.828125 0
102572.039062 104405.648438 0
99386.8515625 99747.7578125 0
99326.0625 99751.140625 0
102804.484375 104766.625 0
102693.6875 104691.148438 0
102606.773438 104793.210938 0
99227.078125 99714.140625 0
99093.9296875 99703.5 0
99545.9453125 102274.570312 0
99602.1328125 101255.710938 0
99599.640625 101628.125 0
99580.84375 101378.867188 0
99853.1015625 100045.804688 0
99861.109375 99942.4296875 0
99633.140625 101114.203125 0
98983.625 99709.015625 0
99859.7265625 102041.171875 0
99562.390625 101937.195312 0
99496.7265625 103907.140625 0
100267.09375 105172.664062 0
98893.6953125 99785.0390625 0
98789.6171875 99879.4609375 0
98311.2265625 100855.3125 0
98209.390625 100989.882812 0
99572.3671875 101026.382812 0
98047.90625 101243.234375 0
97946.1796875 101260.523438 0
99495.4453125 98357.7421875 0
102622.242188 104306.835938 0
99445.015625 98456.9453125 0
99810.3125 100153.546875 0
99565.640625 100881.125 0
98329.9765625 100399.515625 0
97829 101264.414062 0
